picture_file;picture;Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Fásico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo;Imagen_url
101630_MONTALE_AOUD_FOREST_EPV_100ML_1_6_png.webp;;101630-MONTALE-AOUD-FOREST-EPV-100ML-1-6;MONTALE AOUD FOREST;Fragancias > Eau de Toilette (EDT): Uso diario (5-15%).,Fragancias > Femeninas.,Fragancias > Orientales / Ambaradas: Notas cálidas y especiadas.;Volumen;100;Lanzamiento;2009;;;100;;0,15;10;4;4;;FRAG-00001-101630;818257701645;SI;NO;Aoud Forest de Montale es una fragancia de la familia olfativa Amaderada Acuática para Hombres y Mujeres. Aoud Forest se lanzó en 2009. La Nariz detrás de esta fragrancia es Pierre Montale.;;;;Montale;;;Unisex;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101630_MONTALE_AOUD_FOREST_EPV_100ML_1_6_png.webp
101631_MONTALE_AOUD_LEATHER_EPV_100ML_1__6_png.webp;;101631-MONTALE-AOUD-LEATHER-EPV-100ML-1--6;MONTALE AOUD LEATHER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101631_MONTALE_AOUD_LEATHER_EPV_100ML_1__6_png.webp
101633_MONTALE_DARK_AOUD_EPV_100ML_1_png.webp;;101633-MONTALE-DARK-AOUD-EPV-100ML-1;MONTALE DARK AOUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101633_MONTALE_DARK_AOUD_EPV_100ML_1_png.webp
101642_MONTALE_OUDMAZING_EPV_100ML_1_png.webp;;101642-MONTALE-OUDMAZING-EPV-100ML-1;MONTALE OUDMAZING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101642_MONTALE_OUDMAZING_EPV_100ML_1_png.webp
101643_MONTALE_AOUD_JASMINE_EPV_100ML_1_5_png.webp;;101643-MONTALE-AOUD-JASMINE-EPV-100ML-1-5;MONTALE AOUD JASMINE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101643_MONTALE_AOUD_JASMINE_EPV_100ML_1_5_png.webp
101646_MONTALE_INTENSE_BLACK_AOUD_EPV_100ML_1_8_png.webp;;101646-MONTALE-INTENSE-BLACK-AOUD-EPV-100ML-1-8;MONTALE INTENSE BLACK AOUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101646_MONTALE_INTENSE_BLACK_AOUD_EPV_100ML_1_8_png.webp
101647_MONTALE_FANTASTIC_OUD_EPV_100ML_1_8_png.webp;;101647-MONTALE-FANTASTIC-OUD-EPV-100ML-1-8;MONTALE FANTASTIC OUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101647_MONTALE_FANTASTIC_OUD_EPV_100ML_1_8_png.webp
101654_MONTALE_CANDY_ROSE_EPV_100ML_1_5_png.webp;;101654-MONTALE-CANDY-ROSE-EPV-100ML-1-5;MONTALE CANDY ROSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101654_MONTALE_CANDY_ROSE_EPV_100ML_1_5_png.webp
101655_montale_intense_roses_musk_epv_100ml_1_5_png.webp;;101655-montale-intense-roses-musk-epv-100ml-1-5;montale intense roses musk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101655_montale_intense_roses_musk_epv_100ml_1_5_png.webp
101661_MONTALE_WILD_PEARS_EPV_100ML_1_5_png.webp;;101661-MONTALE-WILD-PEARS-EPV-100ML-1-5;MONTALE WILD PEARS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101661_MONTALE_WILD_PEARS_EPV_100ML_1_5_png.webp
101662_MONTALE_CHYPRE_FRUITE_EPV_100ML_1_5_png.webp;;101662-MONTALE-CHYPRE-FRUITE-EPV-100ML-1-5;MONTALE CHYPRE FRUITE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101662_MONTALE_CHYPRE_FRUITE_EPV_100ML_1_5_png.webp
101663_MONTALE_FOUGERES_MARINES_EPV_100ML_1_png.webp;;101663-MONTALE-FOUGERES-MARINES-EPV-100ML-1;MONTALE FOUGERES MARINES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101663_MONTALE_FOUGERES_MARINES_EPV_100ML_1_png.webp
101666_MONTALE_CHOCOLATE_GREEDY_EPV_100ML_1_13_png.webp;;101666-MONTALE-CHOCOLATE-GREEDY-EPV-100ML-1-13;MONTALE CHOCOLATE GREEDY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101666_MONTALE_CHOCOLATE_GREEDY_EPV_100ML_1_13_png.webp
101668_MONTALE_WHITE_MUSK_EPV_100ML_1_5_png.webp;;101668-MONTALE-WHITE-MUSK-EPV-100ML-1-5;MONTALE WHITE MUSK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101668_MONTALE_WHITE_MUSK_EPV_100ML_1_5_png.webp
101669_MONTALE_BLACK_MUSK_EPV_100ML_1_5_png.webp;;101669-MONTALE-BLACK-MUSK-EPV-100ML-1-5;MONTALE BLACK MUSK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101669_MONTALE_BLACK_MUSK_EPV_100ML_1_5_png.webp
101674_MONTALE_RED_VETIVER_EPV_100ML_1_3_png.webp;;101674-MONTALE-RED-VETIVER-EPV-100ML-1-3;MONTALE RED VETIVER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101674_MONTALE_RED_VETIVER_EPV_100ML_1_3_png.webp
101679_MONTALE_ORANGE_FLOWERS_EPV_100ML_1_4_png.webp;;101679-MONTALE-ORANGE-FLOWERS-EPV-100ML-1-4;MONTALE ORANGE FLOWERS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101679_MONTALE_ORANGE_FLOWERS_EPV_100ML_1_4_png.webp
